index,x_transformed,y_transformed
263,4460.0002441407005,6266.490234375001
264,4440.0002441407005,6266.490234375001
265,4420.0002441407005,6266.490234375001
266,4400.0002441407005,6266.490234375001
267,4380.0002441407005,6266.490234375001
268,4360.0002441407005,6266.490234375001
269,4340.0002441407005,6266.490234375001
270,4320.0002441407005,6266.490234375001
271,4300.0002441407005,6266.490234375001
272,4280.0002441407005,6266.490234375001
273,4260.0002441407005,6266.490234375001
274,4240.0002441407005,6266.490234375001
275,4220.0002441407005,6266.490234375001
276,4200.0002441407005,6266.490234375001
277,4180.0002441407005,6266.490234375001
278,4160.0002441407005,6266.490234375001
279,4140.0002441407005,6266.490234375001
280,4120.0002441407005,6266.490234375001
281,4100.0002441407005,6266.490234375001
282,4080.0002441407005,6266.490234375001
283,4060.0002441407005,6266.490234375001
284,4040.0002441407005,6266.490234375001
285,4020.0002441407005,6266.490234375001
286,4000.0002441407005,6266.490234375001
287,3980.0002441407005,6266.490234375001
288,3960.0002441407005,6266.490234375001
289,3940.0002441407005,6266.490234375001
290,3920.0002441407005,6266.490234375001
291,3900.0002441407005,6266.490234375001
292,3880.0002441407005,6266.490234375001
293,3860.0002441407005,6266.490234375001
294,3840.0002441407005,6266.490234375001
295,3820.0002441407005,6266.490234375001
296,3800.0002441407005,6266.490234375001
297,3780.0002441407005,6266.490234375001
298,3760.0002441407005,6266.490234375001
299,3740.0002441407,6266.490234375001
300,3720.0002441407,6266.490234375001
301,3700.0002441407,6266.490234375001
302,3680.0002441407,6266.490234375001
303,3660.0002441407,6266.490234375001
304,5260.0002441407005,6246.490234375001
305,5240.0002441407005,6246.490234375001
306,5220.0002441407005,6246.490234375001
307,5200.0002441407005,6246.490234375001
308,5180.0002441407005,6246.490234375001
309,5160.0002441407005,6246.490234375001
310,5140.0002441407005,6246.490234375001
311,5120.0002441407005,6246.490234375001
312,5100.000244140701,6246.490234375001
313,5080.000244140701,6246.490234375001
314,5060.000244140701,6246.490234375001
315,5040.000244140701,6246.490234375001
316,5020.000244140701,6246.490234375001
317,5000.000244140701,6246.490234375001
318,4980.000244140701,6246.490234375001
319,4960.000244140701,6246.490234375001
320,4940.000244140701,6246.490234375001
321,4920.000244140701,6246.490234375001
322,4900.000244140701,6246.490234375001
323,4880.000244140701,6246.490234375001
324,4860.000244140701,6246.490234375001
325,4840.000244140701,6246.490234375001
326,4820.000244140701,6246.490234375001
327,4800.000244140701,6246.490234375001
328,4780.000244140701,6246.490234375001
329,4760.0002441407005,6246.490234375001
330,4740.0002441407005,6246.490234375001
331,4720.0002441407005,6246.490234375001
332,4700.0002441407005,6246.490234375001
333,4680.0002441407005,6246.490234375001
334,4660.0002441407005,6246.490234375001
335,4640.0002441407005,6246.490234375001
336,4620.0002441407005,6246.490234375001
337,4600.0002441407005,6246.490234375001
338,4580.0002441407005,6246.490234375001
339,4560.0002441407005,6246.490234375001
340,4540.0002441407005,6246.490234375001
341,4520.0002441407005,6246.490234375001
342,4500.0002441407005,6246.490234375001
343,4480.0002441407005,6246.490234375001
344,4460.0002441407005,6246.490234375001
345,4440.0002441407005,6246.490234375001
346,4420.0002441407005,6246.490234375001
347,4400.0002441407005,6246.490234375001
348,4380.0002441407005,6246.490234375001
349,4360.0002441407005,6246.490234375001
350,4340.0002441407005,6246.490234375001
351,4320.0002441407005,6246.490234375001
352,4300.0002441407005,6246.490234375001
353,4280.0002441407005,6246.490234375001
354,4260.0002441407005,6246.490234375001
355,4240.0002441407005,6246.490234375001
356,4220.0002441407005,6246.490234375001
357,4200.0002441407005,6246.490234375001
358,4180.0002441407005,6246.490234375001
359,4160.0002441407005,6246.490234375001
360,4140.0002441407005,6246.490234375001
361,4120.0002441407005,6246.490234375001
362,4100.0002441407005,6246.490234375001
363,4080.0002441407005,6246.490234375001
364,4060.0002441407005,6246.490234375001
365,4040.0002441407005,6246.490234375001
366,4020.0002441407005,6246.490234375001
367,4000.0002441407005,6246.490234375001
368,3980.0002441407005,6246.490234375001
369,3960.0002441407005,6246.490234375001
370,3940.0002441407005,6246.490234375001
371,3920.0002441407005,6246.490234375001
372,3900.0002441407005,6246.490234375001
373,3880.0002441407005,6246.490234375001
374,3860.0002441407005,6246.490234375001
375,3840.0002441407005,6246.490234375001
376,3820.0002441407005,6246.490234375001
377,3800.0002441407005,6246.490234375001
378,3780.0002441407005,6246.490234375001
379,3760.0002441407005,6246.490234375001
380,3740.0002441407,6246.490234375001
381,3720.0002441407,6246.490234375001
382,3700.0002441407,6246.490234375001
